Distance (m),Elevation (m)
0,17.93296623
443.3770387,8.640921593
886.7540773,10.92802906
1330.131116,18.53432846
1773.508155,14.99195862
2216.885193,13.6259861
2660.262232,20.82060814
3103.639271,8.027371407
3547.016309,10.50066471
3990.393348,7.657314301
4433.770387,7.158102989
4877.147425,10.86600685
5320.524464,12.80559826
5763.901503,14.00756741
6207.278541,44.14777374
6650.65558,33.67243958
7094.032619,26.3763504
7537.409657,17.91545677
7980.786696,17.02280426
8424.163735,12.32242393
8867.540773,4.903614044
9310.917812,12.98644352
9754.294851,18.83622551
10197.67189,13.02645874
10641.04893,26.97979927
11084.42597,32.64493561
11527.80301,25.4539547
11971.18004,22.45868492
12414.55708,17.30427742
12857.93412,29.13920212
13301.31116,24.02456665
13744.6882,25.30240822
14188.06524,20.21944618
14631.44228,29.68453217
15074.81931,29.57240677
15518.19635,25.04689598
15961.57339,29.00262642
16404.95043,30.25615501
16848.32747,30.69055939
17291.70451,46.14988708
17735.08155,33.58180237
18178.45859,28.48423767
18621.83562,23.69234657
19065.21266,21.5122509
19508.5897,23.12337494
19951.96674,38.65209961
20395.34378,30.68771553
20838.72082,21.18096924
21282.09786,20.01804924
21725.47489,19.23519707
22168.85193,17.61104584
22612.22897,12.63058567
23055.60601,15.9697752
23498.98305,14.02664089
23942.36009,9.443104744
24385.73713,8.134993553
24829.11416,8.127880096
25272.4912,8.458107948
25715.86824,4.903692245
26159.24528,5.786959648
26602.62232,0.608337998
27045.99936,14.25169945
27489.3764,11.53777981
27932.75344,6.599637032
28376.13047,11.8421526
28819.50751,8.332601547
29262.88455,16.97560883
29706.26159,22.29046822
30149.63863,33.04149628
30593.01567,26.96121407
31036.39271,13.5785656
31479.76974,14.18130112
31923.14678,19.83597183
32366.52382,21.39789009
32809.90086,31.42425156
33253.2779,29.52468109
33696.65494,35.70179367
34140.03198,35.90364838
34583.40902,36.25399017
35026.78605,31.50612259
35470.16309,22.02415657
35913.54013,25.59664917
36356.91717,25.59389496
36800.29421,36.55738831
37243.67125,30.31240654
37687.04829,34.73590469
38130.42532,29.94438744
38573.80236,24.01935387
39017.1794,35.79543686
39460.55644,37.02890396
39903.93348,24.0524559
40347.31052,18.35183716
40790.68756,18.27711678
41234.0646,15.4597702
41677.44163,11.24728298
42120.81867,12.25375175
42564.19571,11.29786491
43007.57275,13.56447506
43450.94979,17.00585747
43894.32683,18.22782135
44337.70387,18.92821693
44781.0809,20.98639297
45224.45794,17.58314323
45667.83498,11.35295773
46111.21202,12.7088356
46554.58906,11.22751617
46997.9661,20.37617493
47441.34314,17.2765522
47884.72018,8.158322334
48328.09721,19.1294384
48771.47425,13.9851799
49214.85129,9.974142075
49658.22833,4.495835781
50101.60537,11.10454273
50544.98241,8.899680138
50988.35945,11.37104034
51431.73648,11.26918411
51875.11352,10.0842371
52318.49056,10.20398808
52761.8676,10.25189304
53205.24464,8.518008232
53648.62168,10.90250874
54091.99872,14.04108047
54535.37576,18.57511902
54978.75279,27.5799675
55422.12983,41.4773674
55865.50687,37.92102814
56308.88391,39.92670441
56752.26095,31.86963844
57195.63799,26.37132835
57639.01503,28.65053558
58082.39206,22.81142807
58525.7691,27.99850464
58969.14614,18.43444252
59412.52318,19.65476227
59855.90022,17.62209511
60299.27726,15.52014446
60742.6543,23.17853928
61186.03134,31.65295601
61629.40837,36.13956833
62072.78541,27.99983406
62516.16245,23.6259594
62959.53949,23.4321537
63402.91653,20.77103806
63846.29357,25.01729202
64289.67061,23.22462463
64733.04764,27.20050812
65176.42468,19.87228775
65619.80172,24.26370049
66063.17876,15.35693264
66506.5558,12.24099445
66949.93284,21.33783722
67393.30988,11.25910664
67836.68691,26.55694962
68280.06395,21.57427406
68723.44099,22.9515686
69166.81803,20.08911896
69610.19507,17.33577919
70053.57211,17.95811462
70496.94915,16.53845215
70940.32619,21.14613533
71383.70322,18.86263084
71827.08026,12.99806118
72270.4573,17.80239487
72713.83434,16.85712051
73157.21138,16.72583771
73600.58842,13.26503086
74043.96546,13.19587231
74487.34249,11.90415955
74930.71953,11.88530254
75374.09657,10.80013084
75817.47361,11.07742786
